ERIN,0.14%,"457,824"
GERALDINE,0.14%,"457,824"
LAUREN,0.14%,"444,836"
CATHY,0.14%,"444,836"
JOANN,0.14%,"441,589"
LORRAINE,0.14%,"438,342"
LYNN,0.14%,"438,342"
SALLY,0.14%,"438,342"
REGINA,0.13%,"431,848"
ERICA,0.13%,"422,107"
BEATRICE,0.13%,"422,107"
DOLORES,0.13%,"418,860"
BERNICE,0.13%,"415,613"
AUDREY,0.13%,"412,366"
YVONNE,0.13%,"409,119"
ANNETTE,0.13%,"405,872"
JUNE,0.13%,"405,872"
SAMANTHA,0.12%,"402,625"
MARION,0.12%,"396,131"
DANA,0.12%,"396,131"
STACY,0.12%,"392,884"
ANA,0.12%,"389,637"
RENEE,0.12%,"389,637"
IDA,0.12%,"383,143"
VIVIAN,0.12%,"383,143"
ROBERTA,0.12%,"379,896"
HOLLY,0.12%,"379,896"
BRITTANY,0.12%,"379,896"
MELANIE,0.12%,"376,649"
LORETTA,0.12%,"373,402"
YOLANDA,0.12%,"373,402"
JEANETTE,0.12%,"373,402"
LAURIE,0.11%,"370,155"
KATIE,0.11%,"366,909"
KRISTEN,0.11%,"360,415"
VANESSA,0.11%,"360,415"
ALMA,0.11%,"360,415"
SUE,0.11%,"360,415"
ELSIE,0.11%,"357,168"
BETH,0.11%,"357,168"
JEANNE,0.11%,"353,921"
VICKI,0.11%,"353,921"
CARLA,0.11%,"347,427"
TARA,0.11%,"347,427"
ROSEMARY,0.11%,"347,427"
EILEEN,0.11%,"340,933"
TERRI,0.11%,"340,933"
GERTRUDE,0.10%,"334,439"
LUCY,0.10%,"334,439"
TONYA,0.10%,"331,192"
ELLA,0.10%,"327,945"
STACEY,0.10%,"327,945"
WILMA,0.10%,"321,451"
GINA,0.10%,"321,451"
KRISTIN,0.10%,"321,451"
JESSIE,0.10%,"318,204"
NATALIE,0.10%,"318,204"
AGNES,0.10%,"318,204"
VERA,0.10%,"318,204"
WILLIE,0.10%,"314,957"
CHARLENE,0.10%,"314,957"
BESSIE,0.10%,"311,710"
DELORES,0.10%,"308,463"
MELINDA,0.09%,"305,216"
PEARL,0.09%,"305,216"
ARLENE,0.09%,"305,216"
MAUREEN,0.09%,"298,722"
COLLEEN,0.09%,"298,722"
ALLISON,0.09%,"298,722"
TAMARA,0.09%,"298,722"
JOY,0.09%,"295,475"
GEORGIA,0.09%,"295,475"
CONSTANCE,0.09%,"295,475"
LILLIE,0.09%,"292,228"
CLAUDIA,0.09%,"292,228"
JACKIE,0.09%,"292,228"
MARCIA,0.09%,"292,228"
TANYA,0.09%,"288,981"
NELLIE,0.09%,"288,981"
MINNIE,0.09%,"288,981"
MARLENE,0.09%,"285,734"
HEIDI,0.09%,"285,734"
GLENDA,0.09%,"285,734"
LYDIA,0.09%,"279,240"
VIOLA,0.09%,"279,240"
COURTNEY,0.09%,"279,240"
MARIAN,0.09%,"279,240"
STELLA,0.09%,"275,993"
CAROLINE,0.09%,"275,993"
DORA,0.08%,"272,746"
JO,0.08%,"269,499"
VICKIE,0.08%,"266,252"
MATTIE,0.08%,"263,005"
TERRY,0.08%,"259,758"
MAXINE,0.08%,"256,511"
IRMA,0.08%,"256,511"
MABEL,0.08%,"253,264"
MARSHA,0.08%,"253,264"
MYRTLE,0.08%,"253,264"
LENA,0.08%,"250,017"
CHRISTY,0.08%,"250,017"
DEANNA,0.08%,"246,770"
PATSY,0.08%,"246,770"
HILDA,0.08%,"243,523"
GWENDOLYN,0.07%,"240,276"
JENNIE,0.07%,"237,029"
NORA,0.07%,"237,029"
MARGIE,0.07%,"233,782"
NINA,0.07%,"233,782"
CASSANDRA,0.07%,"233,782"
LEAH,0.07%,"233,782"
PENNY,0.07%,"230,535"
KAY,0.07%,"230,535"
PRISCILLA,0.07%,"230,535"
NAOMI,0.07%,"230,535"
CAROLE,0.07%,"230,535"
BRANDY,0.07%,"227,288"
OLGA,0.07%,"227,288"
BILLIE,0.07%,"224,041"
DIANNE,0.07%,"224,041"
TRACEY,0.07%,"224,041"
LEONA,0.07%,"224,041"
JENNY,0.07%,"220,795"
FELICIA,0.07%,"220,795"
SONIA,0.07%,"220,795"
MIRIAM,0.07%,"214,301"
VELMA,0.07%,"214,301"
BECKY,0.07%,"214,301"
BOBBIE,0.07%,"211,054"
VIOLET,0.07%,"211,054"
KRISTINA,0.07%,"211,054"
TONI,0.06%,"207,807"
MISTY,0.06%,"204,560"
MAE,0.06%,"204,560"
SHELLY,0.06%,"201,313"
DAISY,0.06%,"201,313"
RAMONA,0.06%,"201,313"
SHERRI,0.06%,"201,313"
ERIKA,0.06%,"198,066"
KATRINA,0.06%,"198,066"
CLAIRE,0.06%,"198,066"
LINDSEY,0.06%,"194,819"
LINDSAY,0.06%,"194,819"
GENEVA,0.06%,"191,572"
GUADALUPE,0.06%,"191,572"
BELINDA,0.06%,"191,572"
MARGARITA,0.06%,"191,572"
SHERYL,0.06%,"191,572"
CORA,0.06%,"188,325"
FAYE,0.06%,"188,325"
ADA,0.06%,"185,078"
NATASHA,0.06%,"185,078"
SABRINA,0.06%,"185,078"
ISABEL,0.06%,"185,078"
MARGUERITE,0.06%,"181,831"
HATTIE,0.06%,"181,831"
HARRIET,0.06%,"181,831"
MOLLY,0.06%,"178,584"
CECILIA,0.06%,"178,584"
KRISTI,0.06%,"178,584"
BRANDI,0.06%,"178,584"
BLANCHE,0.06%,"178,584"
SANDY,0.06%,"178,584"
ROSIE,0.06%,"178,584"
JOANNA,0.06%,"178,584"
IRIS,0.06%,"178,584"
EUNICE,0.05%,"175,337"
ANGIE,0.05%,"175,337"
INEZ,0.05%,"172,090"
LYNDA,0.05%,"172,090"
MADELINE,0.05%,"168,843"
AMELIA,0.05%,"168,843"
ALBERTA,0.05%,"168,843"
GENEVIEVE,0.05%,"165,596"
MONIQUE,0.05%,"165,596"
JODI,0.05%,"165,596"
JANIE,0.05%,"165,596"
MAGGIE,0.05%,"165,596"
KAYLA,0.05%,"165,596"
SONYA,0.05%,"165,596"
JAN,0.05%,"165,596"
LEE,0.05%,"165,596"
KRISTINE,0.05%,"165,596"
CANDACE,0.05%,"165,596"
FANNIE,0.05%,"162,349"
MARYANN,0.05%,"162,349"
OPAL,0.05%,"162,349"
ALISON,0.05%,"162,349"
YVETTE,0.05%,"162,349"
MELODY,0.05%,"162,349"
LUZ,0.05%,"159,102"
SUSIE,0.05%,"159,102"
OLIVIA,0.05%,"159,102"
FLORA,0.05%,"159,102"
SHELLEY,0.05%,"159,102"
KRISTY,0.05%,"155,855"
MAMIE,0.05%,"155,855"
LULA,0.05%,"155,855"
LOLA,0.05%,"155,855"
VERNA,0.05%,"155,855"
BEULAH,0.05%,"155,855"
ANTOINETTE,0.05%,"155,855"
CANDICE,0.05%,"149,361"
JUANA,0.05%,"149,361"
JEANNETTE,0.05%,"149,361"
PAM,0.05%,"149,361"
KELLI,0.05%,"149,361"
HANNAH,0.05%,"146,114"
WHITNEY,0.05%,"146,114"
BRIDGET,0.05%,"146,114"
KARLA,0.04%,"142,867"
CELIA,0.04%,"142,867"
LATOYA,0.04%,"139,620"
PATTY,0.04%,"139,620"
SHELIA,0.04%,"139,620"
GAYLE,0.04%,"139,620"
DELLA,0.04%,"139,620"
VICKY,0.04%,"139,620"
LYNNE,0.04%,"139,620"
SHERI,0.04%,"136,373"
MARIANNE,0.04%,"136,373"
KARA,0.04%,"133,126"
JACQUELYN,0.04%,"133,126"
ERMA,0.04%,"133,126"
BLANCA,0.04%,"133,126"
MYRA,0.04%,"129,879"
LETICIA,0.04%,"129,879"
PAT,0.04%,"129,879"
KRISTA,0.04%,"129,879"
ROXANNE,0.04%,"129,879"
ANGELICA,0.04%,"126,632"
JOHNNIE,0.04%,"126,632"
ROBYN,0.04%,"126,632"
FRANCIS,0.04%,"126,632"
ADRIENNE,0.04%,"126,632"
ROSALIE,0.04%,"126,632"
ALEXANDRA,0.04%,"126,632"
BROOKE,0.04%,"126,632"
BETHANY,0.04%,"126,632"
SADIE,0.04%,"126,632"
BERNADETTE,0.04%,"126,632"
TRACI,0.04%,"123,385"
JODY,0.04%,"123,385"
KENDRA,0.04%,"123,385"
JASMINE,0.04%,"123,385"
NICHOLE,0.04%,"123,385"
RACHAEL,0.04%,"123,385"
CHELSEA,0.04%,"123,385"
MABLE,0.04%,"123,385"
ERNESTINE,0.04%,"123,385"
MURIEL,0.04%,"123,385"
MARCELLA,0.04%,"120,138"
ELENA,0.04%,"120,138"
KRYSTAL,0.04%,"120,138"
ANGELINA,0.04%,"120,138"
NADINE,0.04%,"116,891"
KARI,0.04%,"116,891"
ESTELLE,0.04%,"116,891"
DIANNA,0.04%,"116,891"
PAULETTE,0.04%,"116,891"
LORA,0.04%,"116,891"
MONA,0.04%,"113,644"
DOREEN,0.04%,"113,644"
ROSEMARIE,0.04%,"113,644"
ANGEL,0.04%,"113,644"
DESIREE,0.04%,"113,644"
ANTONIA,0.04%,"113,644"
HOPE,0.03%,"110,397"
GINGER,0.03%,"110,397"
JANIS,0.03%,"110,397"
BETSY,0.03%,"110,397"
CHRISTIE,0.03%,"110,397"
FREDA,0.03%,"110,397"
MERCEDES,0.03%,"107,150"
MEREDITH,0.03%,"107,150"
LYNETTE,0.03%,"107,150"
TERI,0.03%,"107,150"
CRISTINA,0.03%,"107,150"
EULA,0.03%,"107,150"
LEIGH,0.03%,"103,903"
MEGHAN,0.03%,"103,903"
SOPHIA,0.03%,"103,903"
ELOISE,0.03%,"103,903"
ROCHELLE,0.03%,"103,903"
